時間戳記,How long have you been a resident of Coquitlam?,Age,Gender,Employment Status,Annual Household Income,Residency status,Education Level,Have you ever used any of the following smart online initiatives implemented by Coquitlam?,Have you chosen one or more smart initiatives in section 2?,"How satisfied are you with the online eServices (such as finding job on career.coquitlam.ca, shelter donation, renewing dog license, and utility bill payment)?","How would you rate the ease-of-use access bill histories, property tax, utilities, and dog licenses through myCoquitlam website?",Do you find the Curbside Collection mobile app’s features to be comprehensive and useful?  ,How responsive do you find the Let’s Talk Coquitlam website when providing feedback or participating in community discussions?  ,Do you feel that the free Wi-Fi provided in Coquitlam’s City parks and civic facilities is reliable and fast?,"On a scale of 1 to 5, how concerned are you about the following privacy issues related to smart applications?  
(1 = Not concerned at all, 5 = Extremely concerned)  [Unauthorized access to personal data]","On a scale of 1 to 5, how concerned are you about the following privacy issues related to smart applications?  
(1 = Not concerned at all, 5 = Extremely concerned)  [Misuse of personal information]","On a scale of 1 to 5, how concerned are you about the following privacy issues related to smart applications?  
(1 = Not concerned at all, 5 = Extremely concerned)  [Data breaches and leaks]","On a scale of 1 to 5, how concerned are you about the following privacy issues related to smart applications?  
(1 = Not concerned at all, 5 = Extremely concerned)  [Location tracking]","On a scale of 1 to 5, how concerned are you about the following privacy issues related to smart applications?  
(1 = Not concerned at all, 5 = Extremely concerned)  [Profiling and surveillance]",Have you ever experienced or heard of a privacy breach related to smart applications in Coquitlam?  ,"How comfortable are you with sharing personal information (e.g., location, health data) 
with smart applications to access smart city services?  ",To what extent do you trust the city of Coquitlam and service providers to protect your privacy when using smart applications?  ,Do you feel that smart applications in Coquitlam clearly communicate how your personal data will be used?  ,"On a scale 1 to 5, How concerned are you about your personal data being shared with third parties by smart applications?  
 (1 = Not concerned at all, 5 = Extremely concerned) ",Do you feel you have enough control over the personal data that smart applications collect from you?,"On a scale of 1 to 5, how concerned are you about the following security issues related to smart applications?
 (1 = Not concerned at all, 5 = Extremely concerned)   [Hacking and cyber-attacks]","On a scale of 1 to 5, how concerned are you about the following security issues related to smart applications?
 (1 = Not concerned at all, 5 = Extremely concerned)   [Vulnerability of devices to malware]","On a scale of 1 to 5, how concerned are you about the following security issues related to smart applications?
 (1 = Not concerned at all, 5 = Extremely concerned)   [Inadequate security measures by service providers]","On a scale of 1 to 5, how concerned are you about the following security issues related to smart applications?
 (1 = Not concerned at all, 5 = Extremely concerned)   [Data interception during transmission]","On a scale of 1 to 5, how concerned are you about the following security issues related to smart applications?
 (1 = Not concerned at all, 5 = Extremely concerned)   [Security of public Wi-Fi networks]",Have you ever experienced or heard of a security issue related to smart applications in Coquitlam? ,How important is it for you to have control over the security settings of smart applications you use?  ,How confident are you that smart applications in Coquitlam have adequate measures in place to protect your data from breaches?  ,Are you satisfied with the authentication methods used by smart applications to verify your identity?  ,Do you trust the security policies of smart applications in Coquitlam?  ,How satisfied are you with the overall privacy protection provided by smart applications in Coquitlam?  ,How satisfied are you with the overall security measures implemented by smart applications in Coquitlam?  ,"On average, how often do you use smart online initiatives (from Section 2) provided by the City of Coquitlam (e.g., public transportation apps, utility management apps, public service apps)? "," To what extent do you agree with the following statement: ""Smart online initiatives provided by the City of Coquitlam have improved my overall quality of life.""",How easy do you find it to use the smart online initiatives provided by the City of Coquitlam?,"To what extent do online initiatives provided by the City of Coquitlam help you in managing your daily activities (e.g., commuting, paying bills, accessing city services)?",How satisfied are you with the services provided by the online initiatives offered by the City of Coquitlam? ,What are the reasons that discourage you from using or make you use the smart applications less frequently? (Select all that apply),"What improvements would encourage you to use Coquitlam's smart online initiatives 
more frequently? (Select all that apply) ",Do you have any additional comments or suggestions regarding the use of smart applications in Coquitlam's smart city initiatives?
2024/7/13 17:38,3 to 5 years,25 - 44,Female,Part-time employed,"$75,000 - $99,999",Permanent Resident,Bachelor's degree,"Tracking and receiving reminders for curbside collection with the Coquitlam Curbside Collection App., Paying utility bills through eService, Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Neutral,Neutral,Never used before,Never used before,Neutral,5,5,5,3,5,No,Comfortable,Slightly Comfortable,Disagree,4,Disagree,5,5,4,4,4,No,Very Important,Slightly Confident,Neutral,Neutral,Neutral,Satisfied,Monthly,Neutral,Neutral,Agree,Neutral,"Not useful, Lack of awareness, Technical difficulties or issues","Better interface, More comprehensive features, Enhanced security measures, Improved privacy protections, More user-friendly navigation, Better customer support, Increased awareness and education about the initiatives",Awareness 
2024/7/15 15:50,3 to 5 years,25 - 44,Female,Student with a part-time job,"$75,000 - $99,999",Student Visa,High school diploma or equivalent,Accessing free Wi-Fi in city parks or civic facilities.,Yes,Never used before,Never used before,Never used before,Never used before,Neutral,4,3,3,3,3,No,Neutral,Neutral,Neutral,4,Neutral,3,3,4,2,3,No,Neutral,Slightly Confident,Neutral,Trust,Satisfied,Satisfied,Monthly,Neutral,Neutral,Neutral,Neutral,"Concerns about privacy, Concerns about security, Technical difficulties or issues","More comprehensive features, Improved privacy protections, Better customer support",
2024/7/15 20:53,Over 5 years,>64,Female,Part-time employed,"$25,000 - $49,999",Citizen,Bachelor's degree,"Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Neutral,Never used before,Never used before,Never used before,Agree,4,5,5,2,4,Maybe,Slightly Comfortable,Neutral,Agree,4,Agree,2,4,4,5,5,Maybe,Important,Slightly Confident,Very Unsatisfied,Neutral,Neutral,Neutral,Weekly,Neutral,Easy,Neutral,Neutral,"Concerns about privacy, Concerns about security, Preference for traditional methods","More comprehensive features, Enhanced security measures, Improved privacy protections, More user-friendly navigation, Better customer support",
2024/7/17 0:22,Less than 1 year,25 - 44,Male,Student without a part-time job,"Less than $25,000",Student Visa,Some college or university,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Neutral,Neutral,Neutral,Neutral,"Not useful, Preference for traditional methods","Better customer support, Increased awareness and education about the initiatives",
2024/7/15 20:55,1 to 2 years,25 - 44,Male,Student with a part-time job,Prefer not to say,Permanent Resident,Bachelor's degree,"Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Satisfied,Neutral,Neutral,Neutral,Neutral,4,2,2,2,2,No,Neutral,Comfortable,Neutral,2,Disagree,2,2,3,3,2,No,Important,Neutral,Satisfied,Trust,Satisfied,Neutral,Monthly,Agree,Neutral,Agree,Neutral,"Concerns about privacy, Concerns about security","More comprehensive features, More user-friendly navigation, Better customer support",
2024/7/15 15:53,1 to 2 years,<25,Male,Part-time employed,"$25,000 - $49,999",Citizen,Some college or university,"Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Neutral,Neutral,Neutral,Neutral,Neutral,5,4,5,4,4,Yes,Neutral,Comfortable,Agree,4,Disagree,4,4,4,4,4,Yes,Important,Confident,Neutral,Trust,Dissatisfied,Neutral,Weekly,Agree,Neutral,Neutral,Neutral,"Concerns about privacy, Concerns about security, Technical difficulties or issues","Enhanced security measures, Improved privacy protections, More user-friendly navigation, Increased awareness and education about the initiatives",
2024/7/15 20:29,Less than 1 year,<25,Male,Part-time employed,"$25,000 - $49,999",Citizen,High school diploma or equivalent,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Neutral,Neutral,Neutral,"Not useful, Lack of awareness","More comprehensive features, More user-friendly navigation, Increased awareness and education about the initiatives",
2024/7/15 21:10,3 to 5 years,>64,Male,Retired,Prefer not to say,Citizen,Postgraduate degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Neutral,Neutral,Neutral,"Bad interface/experience, Concerns about privacy, Concerns about security","Enhanced security measures, Increased awareness and education about the initiatives",
2024/7/15 17:43,3 to 5 years,25 - 44,Male,Student without a part-time job,"Less than $25,000",Student Visa,High school diploma or equivalent,"Paying utility bills through eService, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Neutral,Never used before,Agree,Never used before,Agree,5,5,5,4,4,No,Slightly Comfortable,Slightly Comfortable,Neutral,5,Disagree,4,4,5,4,5,No,Important,Slightly Confident,Satisfied,Trust,Neutral,Satisfied,Rarely,Neutral,Difficult,Disagree,Dissatisfied,"Not useful, Concerns about privacy, Concerns about security","More comprehensive features, Enhanced security measures, Improved privacy protections, More user-friendly navigation",
2024/7/12 11:48,3 to 5 years,<25,Male,Student without a part-time job,Prefer not to say,Student Visa,Postgraduate degree,"Paying utility bills through eService, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Satisfied,Never used before,Never used before,Never used before,Agree,5,5,5,3,4,No,Not Comfortable,Comfortable,Agree,4,Disagree,5,5,4,3,3,No,Slightly important,Slightly Confident,Satisfied,Trust,Satisfied,Satisfied,Weekly,Agree,Neutral,Agree,Satisfied,Lack of awareness,"More user-friendly navigation, Better customer support",
2024/7/15 20:59,Less than 1 year,45 - 64,Female,Full time employed,"Less than $25,000",Work Visa,Some college or university,Accessing free Wi-Fi in city parks or civic facilities.,Yes,Never used before,Never used before,Never used before,Never used before,Neutral,1,2,2,1,1,No,Not Comfortable,Neutral,Neutral,3,Neutral,2,2,2,1,2,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Never,Neutral,Neutral,Neutral,Neutral,"Lack of awareness, Concerns about privacy",More comprehensive features,
2024/7/15 21:12,Less than 1 year,25 - 44,Male,Full time employed,"$50,000 - $74,999",Citizen,Some college or university,"Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Neutral,Neutral,Agree,Neutral,Strongly Agree,1,1,1,1,1,No,Not Comfortable,Slightly Comfortable,Neutral,3,Neutral,1,1,1,1,3,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Daily,Neutral,Neutral,Neutral,Neutral,"Lack of awareness, Concerns about security","Enhanced security measures, Improved privacy protections, More user-friendly navigation",
2024/7/15 16:33,Less than 1 year,45 - 64,Male,Retired,"$100,000 - $124,999",Permanent Resident,Postgraduate degree,"Paying utility bills through eService, Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website.",Yes,Satisfied,Never used before,Never used before,Never used before,Never used before,5,5,5,5,5,Yes,Not Comfortable,Neutral,Agree,5,Strongly Disagree,5,5,5,5,5,No,Very Important,Not Confident,Very Unsatisfied,Neutral,Very dissatisfied,Very dissatisfied,Monthly,Neutral,Neutral,Neutral,Neutral,Concerns about security,"Enhanced security measures, Improved privacy protections",
2024/7/15 15:50,3 to 5 years,25 - 44,Female,Student with a part-time job,"$75,000 - $99,999",Student Visa,High school diploma or equivalent,Accessing free Wi-Fi in city parks or civic facilities.,Yes,Never used before,Never used before,Never used before,Never used before,Neutral,4,3,3,3,3,No,Neutral,Neutral,Neutral,4,Neutral,3,3,4,2,3,No,Neutral,Slightly Confident,Neutral,Trust,Satisfied,Satisfied,Monthly,Neutral,Neutral,Neutral,Neutral,"Concerns about privacy, Concerns about security, Technical difficulties or issues","More comprehensive features, Improved privacy protections, Better customer support",
2024/7/15 21:14,Over 5 years,45 - 64,Female,Full time employed,Prefer not to say,Permanent Resident,High school diploma or equivalent,"Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Neutral,Never used before,Never used before,Never used before,Disagree,5,5,5,5,5,No,Not Comfortable,Comfortable,Neutral,5,Neutral,5,5,5,5,5,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Rarely,Neutral,Neutral,Neutral,Neutral,Lack of awareness,Better customer support,
2024/7/15 16:17,Over 5 years,25 - 44,Female,Student without a part-time job,"$75,000 - $99,999",Citizen,Some college or university,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Neutral,Neutral,Neutral,Lack of awareness,Increased awareness and education about the initiatives,Because I rent I don’t use the services
2024/7/15 15:50,3 to 5 years,25 - 44,Female,Student with a part-time job,"$75,000 - $99,999",Student Visa,High school diploma or equivalent,Accessing free Wi-Fi in city parks or civic facilities.,Yes,Never used before,Never used before,Never used before,Never used before,Neutral,4,3,3,3,3,No,Neutral,Neutral,Neutral,4,Neutral,3,3,4,2,3,No,Neutral,Slightly Confident,Neutral,Trust,Satisfied,Satisfied,Monthly,Neutral,Neutral,Neutral,Neutral,"Concerns about privacy, Concerns about security, Technical difficulties or issues","More comprehensive features, Improved privacy protections, Better customer support",
2024/7/13 16:36,Less than 1 year,<25,Male,Part-time employed,"$25,000 - $49,999",Work Visa,Bachelor's degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Neutral,Neutral,Neutral,Lack of awareness,"Enhanced security measures, Improved privacy protections, More user-friendly navigation, Better customer support",
2024/7/15 16:33,Less than 1 year,45 - 64,Male,Retired,"$100,000 - $124,999",Permanent Resident,Postgraduate degree,"Paying utility bills through eService, Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website.",Yes,Satisfied,Never used before,Never used before,Never used before,Never used before,5,5,5,5,5,Yes,Not Comfortable,Neutral,Agree,5,Strongly Disagree,5,5,5,5,5,No,Very Important,Not Confident,Very Unsatisfied,Neutral,Very dissatisfied,Very dissatisfied,Monthly,Neutral,Neutral,Neutral,Neutral,Concerns about security,"Enhanced security measures, Improved privacy protections",
2024/7/13 16:36,Less than 1 year,<25,Male,Part-time employed,"$25,000 - $49,999",Work Visa,Bachelor's degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Neutral,Neutral,Neutral,Lack of awareness,"Enhanced security measures, Improved privacy protections, More user-friendly navigation, Better customer support",
2024/7/15 21:05,1 to 2 years,25 - 44,Female,Student without a part-time job,"$125,000 - $149,999",Citizen,Some college or university,"Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Satisfied,Easy,Never used before,Never used before,Disagree,4,4,4,5,4,No,Slightly Comfortable,Slightly Comfortable,Neutral,4,Neutral,5,4,4,4,4,No,Very Important,Slightly Confident,Unsatisfied,Neutral,Neutral,Neutral,Rarely,Neutral,Neutral,Neutral,Neutral,"Lack of awareness, Technical difficulties or issues","More user-friendly navigation, Better customer support, Increased awareness and education about the initiatives",
2024/7/15 20:47,3 to 5 years,<25,Male,Student with a part-time job,"$50,000 - $74,999",Student Visa,Some college or university,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Neutral,Neutral,Neutral,Concerns about privacy,Improved privacy protections,
2024/7/16 16:51,Less than 1 year,25 - 44,Female,Unemployed,Prefer not to say,Visitor,Postgraduate degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily,Neutral,Difficult,Strongly agree,Neutral,Lack of awareness,"Enhanced security measures, Improved privacy protections, Better customer support",
2024/7/15 1:08,3 to 5 years,25 - 44,Female,Full time employed,"$100,000 - $124,999",Permanent Resident,Postgraduate degree,"Paying utility bills through eService, Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/",Yes,Neutral,Easy,Never used before,Responsive,Agree,5,5,5,5,5,No,Not Comfortable,Slightly Comfortable,Neutral,5,Disagree,5,5,5,5,5,No,Important,Confident,Satisfied,Trust,Satisfied,Satisfied,Monthly,Neutral,Easy,Agree,Satisfied,"Not useful, Concerns about privacy, Concerns about security","Better interface, Enhanced security measures, Improved privacy protections",
2024/7/14 17:56,Less than 1 year,25 - 44,Female,Student without a part-time job,Prefer not to say,Student Visa,Bachelor's degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,Neutral,Easy,Agree,Satisfied,"Concerns about privacy, Preference for traditional methods","Enhanced security measures, Improved privacy protections",
2024/7/15 20:51,Over 5 years,<25,Female,Student without a part-time job,Prefer not to say,Citizen,High school diploma or equivalent,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Neutral,Neutral,Neutral,Concerns about security,Enhanced security measures,
2024/7/13 17:26,3 to 5 years,<25,Female,Student with a part-time job,"Less than $25,000",Citizen,High school diploma or equivalent,"Viewing active, open, and closed projects on the Let’s Talk Coquitlam website., Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Neutral,Neutral,Never used before,Responsive,Strongly disagree,2,2,2,3,2,Maybe,Not Comfortable,Slightly Comfortable,Neutral,3,Neutral,2,2,2,2,3,Yes,Important,Neutral,Neutral,Neutral,Neutral,Neutral,Monthly,Neutral,Neutral,Agree,Satisfied,"Bad interface/experience, Concerns about privacy, Concerns about security","Better interface, Enhanced security measures, Improved privacy protections, Better customer support, Increased awareness and education about the initiatives",
2024/7/15 16:04,3 to 5 years,25 - 44,Female,Part-time employed,"$100,000 - $124,999",Permanent Resident,Some college or university,Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/,Yes,Satisfied,Never used before,Never used before,Never used before,Never used before,5,5,4,5,5,No,Not Comfortable,Neutral,Neutral,5,Disagree,5,5,5,5,5,No,Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Rarely,Agree,Neutral,Neutral,Neutral,Lack of awareness,"More user-friendly navigation, Increased awareness and education about the initiatives",
2024/7/13 17:16,Over 5 years,45 - 64,Male,Full time employed,"$50,000 - $74,999",Citizen,Postgraduate degree,"Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website., Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/",Yes,Neutral,Easy,Neutral,Neutral,Neutral,3,3,3,3,3,Yes,Not Comfortable,Not Comfortable,Neutral,5,Strongly Disagree,5,5,5,5,5,No,Very Important,Not Confident,Neutral,Neutral,Neutral,Neutral,Rarely,Neutral,Neutral,Neutral,Neutral,Concerns about security,Better customer support,
2024/7/13 18:28,3 to 5 years,25 - 44,Male,Student with a part-time job,"$25,000 - $49,999",Student Visa,Postgraduate degree,"Renewing dog licenses through the eService website., Paying utility bills through eService, Viewing active, open, and closed projects on the Let’s Talk Coquitlam website.",Yes,Satisfied,Neutral,Neutral,Responsive,Neutral,4,3,4,4,3,Yes,Neutral,Neutral,Neutral,5,Neutral,4,3,4,3,3,Yes,Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Monthly,Neutral,Neutral,Agree,Neutral,"Lack of awareness, Concerns about privacy, Preference for traditional methods","More comprehensive features, Improved privacy protections, Better customer support",
2024/7/15 11:47,1 to 2 years,25 - 44,Male,Part-time employed,"Less than $25,000",Work Visa,Bachelor's degree,"Paying utility bills through eService, Viewing active, open, and closed projects on the Let’s Talk Coquitlam website., Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website., Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Satisfied,Easy,Neutral,Neutral,Agree,5,5,5,3,4,Maybe,Slightly Comfortable,Neutral,Neutral,4,Disagree,5,4,5,4,4,No,Very Important,Slightly Confident,Neutral,Trust,Satisfied,Satisfied,Monthly,Neutral,Easy,Agree,Satisfied,"Bad interface/experience, Not useful, Preference for traditional methods, Technical difficulties or issues","Better interface, More comprehensive features, Enhanced security measures, Better customer support",
2024/7/13 16:31,Over 5 years,25 - 44,Female,Part-time employed,Prefer not to say,Citizen,Some college or university,"Renewing dog licenses through the eService website., Paying utility bills through eService, Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website.",Yes,Satisfied,Easy,Never used before,Never used before,Agree,3,3,2,2,2,No,Comfortable,Neutral,Neutral,4,Disagree,3,3,2,2,3,No,Very Important,Confident,Satisfied,Neutral,Satisfied,Satisfied,Rarely,Neutral,Neutral,Agree,Satisfied,"Concerns about privacy, Concerns about security","Better interface, Improved privacy protections",
2024/7/15 21:10,3 to 5 years,>64,Male,Retired,Prefer not to say,Citizen,Postgraduate degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Neutral,Neutral,Neutral,"Bad interface/experience, Concerns about privacy, Concerns about security","Enhanced security measures, Increased awareness and education about the initiatives",
2024/7/15 20:56,Less than 1 year,>64,Male,Retired,"$75,000 - $99,999",Citizen,Bachelor's degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Disagree,Neutral,Strongly disagree,Neutral,"Concerns about privacy, Concerns about security","More user-friendly navigation, Better customer support",
2024/7/15 21:26,3 to 5 years,25 - 44,Male,Full time employed,"$150,000 - $199,999",Permanent Resident,Bachelor's degree,"Paying utility bills through eService, Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website.",Yes,Very satisfied,Easy,Never used before,Never used before,Never used before,3,3,5,3,3,No,Comfortable,Comfortable,Agree,3,Neutral,3,3,3,3,3,No,Very Important,Confident,Satisfied,Trust,Satisfied,Satisfied,Rarely,Agree,Easy,Agree,Satisfied,Lack of awareness,Increased awareness and education about the initiatives,
2024/7/15 18:54,Over 5 years,>64,Male,Full time employed,"$150,000 - $199,999",Citizen,Some college or university,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,Neutral,Easy,Agree,Satisfied,Concerns about privacy,Improved privacy protections,No
2024/7/15 16:33,Less than 1 year,45 - 64,Male,Retired,"$100,000 - $124,999",Permanent Resident,Postgraduate degree,"Paying utility bills through eService, Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website.",Yes,Satisfied,Never used before,Never used before,Never used before,Never used before,5,5,5,5,5,Yes,Not Comfortable,Neutral,Agree,5,Strongly Disagree,5,5,5,5,5,No,Very Important,Not Confident,Very Unsatisfied,Neutral,Very dissatisfied,Very dissatisfied,Monthly,Neutral,Neutral,Neutral,Neutral,Concerns about security,"Enhanced security measures, Improved privacy protections",
2024/7/13 18:28,3 to 5 years,25 - 44,Male,Student with a part-time job,"$25,000 - $49,999",Student Visa,Postgraduate degree,"Renewing dog licenses through the eService website., Paying utility bills through eService, Viewing active, open, and closed projects on the Let’s Talk Coquitlam website.",Yes,Satisfied,Neutral,,Responsive,Neutral,4,3,4,4,3,Yes,Neutral,Neutral,Neutral,5,Neutral,4,3,4,3,3,Yes,Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Monthly,Neutral,Neutral,Agree,Neutral,"Lack of awareness, Concerns about privacy, Preference for traditional methods","More comprehensive features, Improved privacy protections, Better customer support",
2024/7/15 1:08,3 to 5 years,25 - 44,Female,Full time employed,"$100,000 - $124,999",Permanent Resident,Postgraduate degree,"Paying utility bills through eService, Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/",Yes,Neutral,Easy,Never used before,Responsive,Agree,5,5,5,5,5,No,Not Comfortable,Slightly Comfortable,Neutral,5,Disagree,5,5,5,5,5,No,Important,Confident,Satisfied,Trust,Satisfied,Satisfied,Monthly,Neutral,Easy,Agree,Satisfied,"Not useful, Concerns about privacy, Concerns about security","Better interface, Enhanced security measures, Improved privacy protections",
2024/7/15 20:38,Less than 1 year,25 - 44,Female,Student with a part-time job,"$25,000 - $49,999",Student Visa,Some college or university,"Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/, Accessing free Wi-Fi in city parks or civic facilities.",Yes,Neutral,Never used before,Never used before,Never used before,Agree,4,4,4,4,3,No,Slightly Comfortable,Neutral,Neutral,3,Neutral,3,3,3,3,4,Maybe,Very Important,Neutral,Neutral,Neutral,Satisfied,Neutral,Rarely,Neutral,Neutral,Neutral,Neutral,Technical difficulties or issues,Voice command capabilities,
2024/7/15 20:56,Less than 1 year,>64,Male,Retired,"$75,000 - $99,999",Citizen,Bachelor's degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Disagree,Neutral,Strongly disagree,Neutral,"Concerns about privacy, Concerns about security","More user-friendly navigation, Better customer support",
2024/7/13 16:15,Less than 1 year,25 - 44,Female,Unemployed,"Less than $25,000",Student Visa,High school diploma or equivalent,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily,Neutral,Neutral,Neutral,Neutral,Concerns about privacy,More comprehensive features,Less time spending online
2024/7/16 16:41,Over 5 years,25 - 44,Female,Part-time employed,"$75,000 - $99,999",Citizen,Some college or university,"Paying utility bills through eService, Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website., Accessing free Wi-Fi in city parks or civic facilities.",Yes,Satisfied,Easy,Never used before,Never used before,Neutral,4,4,4,4,4,Maybe,Slightly Comfortable,Slightly Comfortable,Neutral,3,Disagree,3,3,3,3,3,Maybe,Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Monthly,Disagree,Neutral,Neutral,Neutral,"Concerns about privacy, Concerns about security","Enhanced security measures, Improved privacy protections, More user-friendly navigation, Increased awareness and education about the initiatives",
2024/7/15 16:33,Less than 1 year,45 - 64,Male,Retired,"$100,000 - $124,999",Permanent Resident,Postgraduate degree,"Paying utility bills through eService, Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website.",Yes,Satisfied,Never used before,Never used before,Never used before,Never used before,5,5,5,5,5,Yes,Not Comfortable,Neutral,Agree,5,Strongly Disagree,5,5,5,5,5,No,Very Important,Not Confident,Very Unsatisfied,Neutral,Very dissatisfied,Very dissatisfied,Monthly,Neutral,Neutral,Neutral,Neutral,Concerns about security,"Enhanced security measures, Improved privacy protections",
2024/7/15 20:49,Less than 1 year,45 - 64,Male,Part-time employed,"$75,000 - $99,999",Work Visa,High school diploma or equivalent,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Neutral,Easy,Agree,Neutral,Lack of awareness,Better customer support,
2024/7/17 0:22,Less than 1 year,25 - 44,Male,Student without a part-time job,"Less than $25,000",Student Visa,Some college or university,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Neutral,Neutral,Neutral,Neutral,"Not useful, Preference for traditional methods","Better customer support, Increased awareness and education about the initiatives",
2024/7/15 16:04,3 to 5 years,25 - 44,Female,Part-time employed,"$100,000 - $124,999",Permanent Resident,Some college or university,Searching for jobs in eService through the Coquitlam careers portal at https://careers.coquitlam.ca/,Yes,Satisfied,Never used before,Never used before,Never used before,Never used before,5,5,4,5,5,No,Not Comfortable,Neutral,Neutral,5,Disagree,5,5,5,5,5,No,Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Rarely,Agree,Neutral,Neutral,Neutral,Lack of awareness,"More user-friendly navigation, Increased awareness and education about the initiatives",
2024/7/13 17:42,1 to 2 years,<25,Female,Student without a part-time job,Prefer not to say,Citizen,High school diploma or equivalent,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,Agree,Neutral,Neutral,Satisfied,Lack of awareness,Enhanced security measures,
2024/7/16 16:51,Less than 1 year,25 - 44,Female,Unemployed,Prefer not to say,Visitor,Postgraduate degree,None of the above.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily,Neutral,Difficult,Strongly agree,Neutral,Lack of awareness,"Enhanced security measures, Improved privacy protections, Better customer support",
2024/7/15 21:26,3 to 5 years,25 - 44,Male,Full time employed,"$150,000 - $199,999",Permanent Resident,Bachelor's degree,"Paying utility bills through eService, Viewing bill histories, access property tax, utilities, and manage dog license accounts through the myCoquitlam website.",Yes,Very satisfied,Easy,Never used before,Never used before,Never used before,3,3,5,3,3,No,Comfortable,Comfortable,Agree,3,Neutral,3,3,3,3,3,No,Very Important,Confident,Satisfied,Trust,Satisfied,Satisfied,Rarely,Agree,Easy,Agree,Satisfied,Lack of awareness,Increased awareness and education about the initiatives,
